ID;DEP;SLUG;NOM;NOM_SIMPLE;CODE_POSTAL;POP_2010;POP_1999;POP_2012_APPROX;DENSITE;SURF;LONG_DEG
36569;971;les-abymes;ABYMES;les abymes;97142;58534;63001;58534;722;81;16.3065
36570;971;anse-bertrand;ANSE-BERTRAND;anse bertrand;97121;4775;5027;4775;77;62;16.4714
36571;971;baie-mahault;BAIE-MAHAULT;baie mahault;97122;30251;23367;30251;657;46;16.2576
36572;971;baillif;BAILLIF;baillif;97123;5214;5817;5214;217;24;16.025
36573;971;basse-terre;BASSE-TERRE;basse terre;97100;11915;12377;11915;2383;5;16.0015
36574;971;bouillante;BOUILLANTE;pigeon;97132;7545;7316;7545;175;43;16.172
36575;971;capesterre-belle-eau;CAPESTERRE-BELLE-EAU;capesterre belle eau;97130;19321;19599;19321;187;103;16.0382
36576;971;capesterre-de-marie-galante;CAPESTERRE-DE-MARIE-GALANTE;capesterre de marie galante;97140;3381;3563;3381;73;46;15.8901
36577;971;gourbeyre;GOURBEYRE;gourbeyre;97113;7949;7632;7949;361;22;15.9952
36578;971;la-desirade;DESIRADE;la desirade;97127;1579;1621;1579;75;21;16.3247
36579;971;deshaies;DESHAIES;deshaies;97126;4431;4043;4431;142;31;16.3095
36580;971;grand-bourg-971;GRAND-BOURG;grand bourg;97112;5530;5893;5530;100;55;15.8828
36581;971;le-gosier;GOSIER;le gosier;97190;26311;25340;26311;584;45;16.2063
36582;971;goyave;GOYAVE;goyave;97128;8065;5040;8065;136;59;16.1335
36583;971;lamentin;LAMENTIN;lamentin;97129;15913;13414;15913;244;65;16.2713
36584;971;morne-a-l-eau;MORNE-A-L'EAU;morne a l eau;97111;16725;17136;16725;261;64;16.3257
36585;971;le-moule;MOULE;le moule;97160;22381;20825;22381;272;82;16.3339
36586;971;petit-bourg;PETIT-BOURG;petit bourg;97170;23199;20510;23199;179;129;16.1878
36587;971;petit-canal;PETIT-CANAL;petit canal;97131;8038;7746;8038;114;70;16.3879
36588;971;pointe-a-pitre;POINTE-A-PITRE;pointe a pitre;97110;16427;20931;16427;8213;2;16.2409
36589;971;pointe-noire;POINTE-NOIRE;pointe noire;97116;7006;7689;7006;118;59;16.2317
36590;971;port-louis-971;PORT-LOUIS;port louis;97117;5440;5573;5440;123;44;16.4272
36591;971;saint-claude-971;SAINT-CLAUDE;st claude;97120;10467;10191;10467;307;34;16.016
36592;971;saint-francois;SAINT-FRANCOIS;st francois;97118;14797;10674;14797;242;61;16.251
36593;971;saint-louis-971;SAINT-LOUIS;st louis;97134;2650;2997;2650;47;56;15.9543
36594;971;sainte-anne;SAINTE-ANNE;ste anne;97180;24192;20385;24192;302;80;16.2238
36595;971;sainte-rose-971;SAINTE-ROSE;ste rose;97115;20155;17605;20155;170;118;16.3313
36596;971;terre-de-bas;TERRE-DE-BAS;terre de bas;97136;1095;1267;1095;182;6;15.8496
36597;971;terre-de-haut;TERRE-DE-HAUT;terre de haut;97137;1787;1729;1787;297;6;15.8678
36598;971;trois-rivieres;TROIS-RIVIERES;trois rivieres;97114;8755;8730;8755;282;31;15.9943
36599;971;vieux-fort;VIEUX-FORT;vieux fort;97141;1824;1603;1824;260;7;15.9481
36600;971;vieux-habitants;VIEUX-HABITANTS;vieux habitants;97119;7703;7615;7703;132;58;16.0535
36827;971;st-barthelemy;SAINT BARTHELEMY;st barthelemy;97133;8938;8938;8938;372;24;-62.8333
36828;971;st-martin;SAINT MARTIN;st martin;97150;36979;36979;36979;695;53.2;18.0913